Amounts_due_to_Gov_t_and_SBV,Assets,Balances_with_SBV,Balances_with_and_loans_to_other_credit_institutions,Book_value_per_share_BVPS,CCE,COGS,Cap_Contribution_long_term_inv,Cap_Reserves,Cash_on_hand_gold_silver_gemstones,Cash_ratio,Charter_capital,Current_assets,Debt_to_equity,Deposits_and_borrowings_from_other_credit_institutions,Deposits_from_customers,Derivatives_other_fin_Liabi,Derivatives_other_fin_assets,EPS,E_L,Fin_Expenses,Financial_income,Fixed_assets,GP,G_A,Goodwill,Gross_insurance_operating_profit,Gross_profit_margin,Income_from_inv_in_other_entities,Interest_coverage,Inv_Properties,Inv_properties,Inv_securities,Inventories,L_E,Liabilities,Liabilities_to_assets,Liabilities_to_equity,Loans_adv_and_fin_leases_to_customers,Long_term_inv,Long_term_liabi,Long_term_rece,Mino_Interest,NII,NR,Net_PAT,Net_fee_and_commission_income,Net_other_income,Net_profit_from_sale_of_inv_Securities,Net_profit_from_trading_foreign_currencies_and_gold,Net_profit_from_trading_of_trading_securities,Net_profit_margin,Non_CA,Non_curr_assets,Operating_expense,Operating_profit,Operating_profit_before_provision_for_credit_losses,Other_CA,Other_Non_CR,Other_assets,Other_borrowed_funds,Other_liabi,Other_profit,Owner_s_equity,Owner_s_equity_,PAT_,PAT_for_SPC,PB,PBT,PE,PL_of_inv_In_AJV,PL_of_inv_in_AJV,Profit_from_fin_Act,Profit_from_insurance_operating,Provisions_for_credit_losses,RE,ROA,ROE,Reserves,Selling_expenses,Share_premium,Short_term_inv,Short_term_liabi,Short_term_ratio,Short_term_rece,Ticker,Total_NR,Total_assets,Total_direct_insurance_operating_expenses,Total_profit,Trading_securities,Trailing_EPS,Valuable_papers_issued
,,,,15170.0,411105.0,326508.0,,,,,442000.0,881758.0,25.1,,,,,1054.0,1031818.0,2363.0,4637.0,129374.0,108774.0,21341.0,,,24.99,,28.26,0.0,,,186614.0,,361324.0,35.02,,,0.0,2091.0,,0.0,,435282.0,50764.0,,,,,,11.66,,150060.0,,67828.0,,39105.0,,,,,-3743.0,,670493.0,,46558.0,1.6,64086.0,6.67,,0.0,,,,118381.0,4.4,6.92,,21879.0,10.0,0.0,359233.0,2.45,244934.0,CSV_Q1_2016,,1031818.0,,,,3644.0,
,,,,13022.0,59442.0,278009.0,,,,,130386.0,422488.0,173.1,,,,,0.0,538953.0,6140.0,255.0,112298.0,31681.0,3657.0,,,10.23,,3.93,0.0,,,208611.0,,369167.0,68.5,,,716.0,115056.0,,0.0,,309689.0,16225.0,,,,,,5.24,,116465.0,,16587.0,,3829.0,,,,,-362.0,,169785.0,,16225.0,9.98,16225.0,0.0,,0.0,,,,32132.0,3.04,9.92,,5551.0,3281.0,0.0,254111.0,1.66,150605.0,DRC_Q1_2007,,538953.0,,,,0.0,
,,,,11235.0,14653.0,5002.0,,,,,95000.0,28558.0,0.0,,,,,911.0,113389.0,0.0,379.0,84832.0,9705.0,832.0,,,65.99,,0.0,0.0,,,1021.0,,6661.0,5.87,,,0.0,0.0,,0.0,,14707.0,8656.0,,,,,,58.86,,84832.0,,9252.0,,16.0,,,,,0.0,,106728.0,,8656.0,2.23,9252.0,8.56,,0.0,,,,7526.0,7.59,8.01,,0.0,0.0,0.0,6661.0,4.29,12868.0,DRL_Q1_2013,,113389.0,,,,2921.0,
26911333.0,0.0,4526266.0,33654828.0,14577.0,,,1477332.0,16403368.0,2787937.0,,,,,19499962.0,155131206.0,0.0,6275.0,0.0,,,,3463943.0,,,,,,59861.0,,,0.0,54806752.0,,294637802.0,,,,184806682.0,,,,194741.0,3076240.0,,632404.0,342968.0,119675.0,9724.0,-101430.0,-4009.0,,,,1999384.0,,1503644.0,,,8806646.0,25003747.0,33618315.0,,,,,633872.0,1.81,972024.0,10.58,,,,,531620.0,,0.23,3.74,,,,,,,,CTG_Q1_2010,,294637802.0,,,301140.0,2494.0,17875131.0
,,,,16114.0,57405.0,13553.0,,,,,84500.0,62577.0,0.0,,,,,1672.0,146262.0,1813.0,2272.0,16194.0,22216.0,2011.0,,,62.11,,0.0,0.0,,,347.0,,10097.0,6.9,,,67287.0,749.0,,0.0,,35769.0,14127.0,,,,,,39.5,,83684.0,,18478.0,,776.0,,,,,294.0,,136164.0,,14127.0,1.37,18772.0,3.67,,0.0,,,,47478.0,9.97,10.93,,2186.0,151.0,0.0,9348.0,6.69,4051.0,DSN_Q4_2010,,146262.0,,,,6023.0,
,,,,16266.0,57072.0,342344.0,,,,,366909.0,653036.0,78.39,,,,,1129.0,1368372.0,10308.0,205.0,683901.0,71390.0,8700.0,,,17.25,,6.53,0.0,,,525667.0,,765735.0,55.96,,,0.0,199957.0,,0.0,,413734.0,41408.0,,,,,,10.01,,715337.0,,51225.0,,0.0,,,,,577.0,,602638.0,,41408.0,1.76,51802.0,5.6,,0.0,,,,142565.0,2.99,7.22,,1362.0,14877.0,0.0,565777.0,1.15,70297.0,CVT_Q4_2017,,1368372.0,,,,5105.0,
,,,,39598.0,264151.0,777226.0,,,,,307500.0,1178924.0,0.0,,,,,0.0,1873928.0,-75.0,48571.0,250543.0,72106.0,17517.0,,,8.49,,0.0,75896.0,,,453437.0,,656279.0,35.02,,,189116.0,2943.0,,0.0,,849332.0,79109.0,,,,,,9.31,,695004.0,,103235.0,,33772.0,,,,,2102.0,,1217649.0,,79109.0,1.78,105336.0,6.74,,0.0,,,,229024.0,4.41,6.63,,0.0,446700.0,5561.0,653336.0,1.8,422003.0,CTD_Q4_2009,,1873928.0,,,,10467.0,
,,,,10541.0,1629.0,31021.0,,,,,183997.0,61378.0,20.51,,,,,2.0,265052.0,3713.0,1612.0,8021.0,4158.0,1727.0,,,11.82,,1.39,46160.0,,,0.0,,71108.0,26.83,,,148960.0,50.0,,0.0,,35178.0,45.0,,,,,,0.13,,203674.0,,312.0,,6262.0,,,,,704.0,,193944.0,,45.0,0.52,1016.0,15.27,,0.0,,,,1459.0,0.02,0.02,,18.0,14474.0,5780.0,71058.0,0.86,47707.0,DRH_Q1_2011,,265052.0,,,,360.0,
,,,,12090.0,17044.0,9059.0,,,,,100000.0,210656.0,31.96,,,,,0.0,285854.0,15.0,163.0,13215.0,2114.0,849.0,,,18.92,,81.17,0.0,,,162705.0,,164952.0,57.71,,,61749.0,54076.0,,0.0,,11173.0,900.0,,,,,,8.05,,75198.0,,1195.0,,3911.0,,,,,5.0,,120901.0,,900.0,0.78,1200.0,3.97,,0.0,,,,16517.0,0.32,0.72,,217.0,0.0,0.0,110876.0,1.9,26995.0,DTA_Q2_2011,,285854.0,,,,1789.0,
,,,,12715.0,13103.0,805748.0,,,,,180000.0,627200.0,214.58,,,,,898.0,791031.0,5970.0,-566.0,113085.0,38070.0,11949.0,,,4.51,,4.06,0.0,,,252940.0,,562166.0,71.07,,,0.0,1255.0,,0.0,,843818.0,16488.0,,,,,,1.95,,163830.0,,-7047.0,,10354.0,,,,,25294.0,,228865.0,,16163.0,1.94,18247.0,20.64,,0.0,,,,26450.0,2.1,7.33,,26632.0,0.0,0.0,560911.0,1.12,350804.0,CTF_Q3_2018,,791031.0,,,,1197.0,
